2,206,15 Charing Cross Junction,,Toledo,Ohio,43656
2,161,3 Thompson Place,,Jacksonville,Florida,32259
2,479,741 Truax Place,,Cincinnati,Ohio,45271
2,307,74779 Dennis Drive,,Santa Barbara,California,93150
2,453,4 Mallory Court,,Wichita,Kansas,67260
2,393,54054 Victoria Trail,,,,
2,403,668 American Parkway,,,,
2,226,670 Pearson Road,,Kalamazoo,Michigan,49006
2,314,594 Magdeline Trail,,,,
2,313,,,Edmond,Oklahoma,73034
2,174,16 Ridgeview Pass,,Pittsburgh,Pennsylvania,15261
2,450,5931 Thierer Way,,,,
2,134,,,Memphis,Tennessee,38150
2,218,01 Russell Pass,,Saint Louis,Missouri,63150
2,377,,,Grand Rapids,Michigan,49544
2,219,82 Thierer Way,,,,
2,344,4717 Kingsford Crossing,,Richmond,Virginia,23285
2,164,8 Clarendon Drive,,Nashville,Tennessee,37250
2,469,26304 Armistice Drive,,Wichita,Kansas,67220
2,191,,,Las Vegas,Nevada,89150
2,34,08481 Miller Park,,San Diego,California,92110
2,49,,,Tucson,Arizona,85705
2,13,9415 Novick Plaza,,Lincoln,Nebraska,68505
2,52,19 Meadow Ridge Road,,,,
2,52,,,Orlando,Florida,32830
2,432,008 Comanche Center,,,,
2,137,4 Mcguire Road,,Elmira,New York,14905
2,170,,,Durham,North Carolina,27710
2,236,41361 Novick Plaza,,Springfield,Missouri,65898
2,92,9259 Algoma Street,,,,
2,278,383 Schmedeman Place,,Nashville,Tennessee,37250
2,396,,,Sarasota,Florida,34238
2,409,027 Haas Street,,Lexington,Kentucky,40524
2,42,9519 Superior Road,,Houston,Texas,77250
2,316,84 Schlimgen Park,,Houston,Texas,77020
2,450,3989 Boyd Hill,,Houston,Texas,77045
2,3,,,Savannah,Georgia,31422
2,105,,,Washington,District of Columbia,20557
2,314,,,Huntington Beach,California,92648
2,447,97 Corben Center,,Tucson,Arizona,85705
2,284,,,Grand Rapids,Michigan,49510
2,467,,,Louisville,Kentucky,40298
2,220,8866 Forest Dale Place,,Dallas,Texas,75210
2,101,755 Ramsey Circle,,,,
2,269,7 Morningstar Center,,,,
2,117,6520 Wayridge Crossing,,Richmond,Virginia,23260
2,268,94 Dawn Circle,,,,
2,149,366 Jana Court,,Dallas,Texas,75392
2,161,85644 Fieldstone Point,,,,
2,486,9 Milwaukee Road,,,,
2,485,3920 Porter Terrace,,Tulsa,Oklahoma,74133
2,114,27016 Stuart Crossing,,Milwaukee,Wisconsin,53225
2,399,56559 Briar Crest Trail,,,,
2,223,52 Dakota Crossing,,Huntington,West Virginia,25716
2,213,,,Toledo,Ohio,43635
2,2,,,Montgomery,Alabama,36134
2,483,8592 Aberg Junction,,Glendale,Arizona,85305
2,156,8258 Southridge Crossing,,Washington,District of Columbia,20420
2,238,53181 Cambridge Trail,,Baton Rouge,Louisiana,70805
2,139,7890 Sunfield Street,,,,
2,323,3467 Lerdahl Place,,Norwalk,Connecticut,06854
2,125,633 Reindahl Park,,London,Kentucky,40745
2,44,3240 Everett Point,,Punta Gorda,Florida,33982
2,487,2 Spohn Point,,,,
2,389,1012 Trailsway Lane,,,,
2,210,4 Corry Pass,,Oklahoma City,Oklahoma,73119
2,331,,,Tucson,Arizona,85754
2,254,,,Phoenix,Arizona,85025
2,99,,,Houston,Texas,77020
2,232,763 Fulton Place,,Atlanta,Georgia,30306
2,174,93 Pawling Road,,Great Neck,New York,11024
2,408,9 Dryden Street,,Brooklyn,New York,11210
2,258,5732 Manufacturers Park,,Birmingham,Alabama,35236
2,158,,,Las Vegas,Nevada,89155
2,469,30009 Pleasure Crossing,,Milwaukee,Wisconsin,53225
2,152,,,Fayetteville,North Carolina,28305
2,111,,,Portland,Oregon,97206
2,395,68676 Algoma Crossing,,,,
2,488,8158 Annamark Lane,,,,
2,231,2122 Spaight Terrace,,,,
2,401,,,Knoxville,Tennessee,37939
2,370,,,San Francisco,California,94154
2,403,,,Staten Island,New York,10305
2,263,,,Shreveport,Louisiana,71137
2,237,,,Greensboro,North Carolina,27455
2,485,39891 Leroy Plaza,,Hampton,Virginia,23668
2,217,,,Cedar Rapids,Iowa,52405
